adjectif_centre,count_centre,classification_centre,adjectif_gauche,count_gauche,classification_gauche,adjectif_droite,count_droite,classificiation_droite
dur,45,N,blanc,10,N,idéologique,17,HR
quatrième,45,N,futur,10,N,impossible,17,N
traditionnel,44,N,récent,10,N,exécutif,17,IB
positif,43,HR,global,10,IB,italien,17,IB
constitutionnel,43,IB,vert,10,HR,reserved,17,N
réel,43,N,nazi,10,HR,récent,16,N
professionnel,43,IB,mondial,10,IB,massif,16,N
libre,43,HR,cher,10,N,régional,16,IB
pauvre,43,N,favorable,10,HR,priver,16,N
officiel,43,IB,racont,10,N,réel,15,N
direct,43,N,populiste,10,HR,institutionnel,15,IB
obligataire,42,IB,budgétaire,10,IB,élir,15,N
présent,42,N,modérer,10,HR,logique,15,N
libéral,42,HR,autoritaire,10,HR,militaire,15,IB
lr,42,N,spécial,10,N,écologiste,15,HR
grave,41,HR,islamique,10,HR,juif,15,IB
intérieur,41,IB,responsable,9,N,migratoire,15,IB
chrétien,40,IB,juif,9,HR,spectaculaire,15,N
évêqu,40,IB,faible,9,HR,sérieux,14,N
crucial,38,N,immigrationnist,9,HR,salarier,14,IB
radical,38,HR,indépendant,9,HR,qualifié,14,N
indien,38,IB,direct,9,N,ouvert,14,N
suivant,38,N,unitaire,9,HR,moral,14,IB
immobilier,38,IB,majoritaire,9,HR,pire,14,N
stable,38,N,intellectuel,9,HR,bel,14,N
électrique,38,IB,offensif,9,HR,contraire,14,N
asil,38,IB,pouvoir,9,HR,négatif,14,N
faux,37,N,nécessaire,9,IB,technique,14,IB
impôt,37,IB,conservateur,9,HR,durable,14,IB
montr,37,N,américain,9,IB,réform,14,N
parisien,37,IB,fragile,8,HR,blanc,14,N
collectif,36,IB,logique,8,N,industriel,13,IB
spécialiste,36,IB,moral,8,IB,alimentaire,13,IB
indépendant,35,IB,ukrainien,8,IB,siège,13,N
négatif,34,N,inutile,8,N,-ell,13,N
éthique,34,IB,fossile,8,IB,complexe,13,N
déficit,34,IB,traditionnel,8,N,jaune,13,N
blanc,34,N,stratégique,8,IB,frontiste,13,HR
limité,33,N,industriel,8,IB,critique,13,N
structurel,33,IB,humain,8,N,moindre,13,N
migratoire,33,IB,censé,8,N,centriste,13,HR
large,33,N,priver,8,N,faux,13,N
militaire,33,IB,familial,8,IB,commercial,13,IB
meilleur,33,HR,municipal,8,IB,professionnel,12,IB
cher,33,N,ouvrier,8,IB,monétaire,12,IB
léger,32,N,noir,8,N,grec,12,IB
probable,32,N,associatif,8,IB,fait,12,N
durable,32,N,riche,8,N,souverain,12,IB
global,32,IB,ouvert,8,N,courant,12,N
riche,31,N,fondamental,8,N,russe,12,IB
nucléaire,31,IB,scolaire,8,IB,collectif,12,IB
salarier,31,IB,journaliste,8,IB,lundi,12,N
sérieux,31,N,énorme,8,N,municipal,12,IB
logique,31,N,similaire,7,N,antisémite,12,HR
–,30,N,supérieur,7,N,direct,11,N
rouge,30,N,divers,7,N,maritime,11,IB
total,30,N,inédit,7,N,divers,11,N
record,30,N,palestinien,7,IB,déficit,11,IB
commercial,30,IB,illibéral,7,HR,macroniste,11,HR
neuf,30,N,faux,7,N,précédent,11,N
vrai,30,N,libre,7,HR,excessif,11,N
surprise,30,N,frontiste,7,HR,occidental,11,IB
fondamental,30,N,neuf,7,N,libéral,11,HR
rural,30,IB,ultime,7,N,dangereux,11,N
centriste,30,HR,individuel,7,IB,écologique,11,IB
lundi,29,N,violent,7,N,quell,11,N
institutionnel,29,IB,administratif,7,IB,hostile,11,N
bel,29,N,élu,7,IB,personn,11,N
économiste,29,IB,élevé,7,N,inédit,11,N
prioritaire,29,IB,normal,7,N,rare,11,N
classique,29,N,évoqu,7,N,numérique,10,N
actif,28,N,persuader,7,N,alternatif,10,IB
identitaire,28,HR,lr,7,N,rappell,10,N
élu,28,IB,s’,7,N,sportif,10,IB
incertain,28,N,alternatif,7,IB,terroriste,10,HR
divers,28,N,artistique,7,IB,noir,10,N
éolien,28,IB,profond,7,N,tricolore,10,IB
naturel,28,N,large,7,N,climatique,10,IB
gouvernemental,28,IB,issu,7,N,moderne,10,N
enjeux,27,IB,professionnel,7,IB,disponible,10,N
complet,27,N,rare,6,N,positif,10,N
inédit,27,N,physique,6,IB,géopolitique,10,IB
civil,27,IB,terrible,6,N,sécuritaire,10,IB
technique,27,IB,démocrate,6,HR,rural,10,IB
brut,27,N,urbain,6,IB,nucléaire,10,IB
s’,27,N,sensible,6,N,raisonnable,10,N
municipal,27,IB,vital,6,N,inférieur,10,N
prudent,26,N,tactique,6,IB,profond,9,N
idéologique,26,HR,-ell,6,N,familial,9,IB
rappell,26,N,gagner,6,N,identitaire,9,HR 
ouvert,26,N,quartier,6,N,record,9,N
normal,26,N,historien,6,N,ferme,9,N
capable,26,N,double,6,N,juridique,9,IB
immédiat,26,N,stalinien,6,HR,structurel,9,IB
critique,26,N,contraire,6,N,incapable,9,N
contraindre,26,N,fiscal,6,IB,annuel,9,IB
responsable,25,IB,nul,6,N,essentiel,9,N
battr,25,N,mont,6,N,entier,9,N
lepéniste,25,HR,marseillais,6,IB,normal,9,N
écrasant,25,N,âgé,6,N,indépendant,9,IB
fédéral,25,IB,universel,6,N,prioritaire,9,IB 
coûteux,25,N,crédible,6,N,allié,9,HR
majoritaire,25,IB,total,6,N,l.,9,N
prévoit,25,N,citoyen,6,IB,officiel,9,IB
pire,25,N,élir,6,N,naturel,9,N
moindre,25,N,féministe,6,HR,travailliste,9,HR
syndical,25,IB,éventuel,6,N,inscrit,9,N
boursier,25,IB,mauvais,6,N,urbain,9,IB
populiste,25,HR,militant,6,HR,évident,9,N
réagi,25,N,sérieux,6,N,décisif,9,N
interne,25,IB,j’,6,N,spécial,9,N
vert,24,N,pauvre,5,N,dimanch,8,N
quell,24,N,von,5,N,marinist,8,HR
démographique,24,IB,critique,5,N,éclair,8,N
territorial,24,IB,officiel,5,IB,âgé,8,N
moral,24,I ,bel,5,N,régulier,8,N
russe,23,IB,sociale-démocrat,5,HR,solide,8,N
médical,23,IB,immédiat,5,N,territorial,8,IB
complexe,23,N,identitaire,5,HR,e.g.,8,N
lfi,23,HR,légitime,5,IB,final,8,N
rare,23,N,naturel,5,N,médiatique,8,IB
considérable,23,N,défavorable,5,N,stable,8,N
comment,23,,judiciaire,5,IB,universel,8,N
rapide,23,N,émissaire,5,IB,chinois,8,IB
comparable,23,N,irréaliste,5,N,considérable,8,N
potentiel,23,N,progressiste,5,HR,indispensable,8,N
vif,22,N,contemporain,5,IB,extérieur,8,IB
métropolitain,22,IB,sexuel,5,IB,intérieur,8,IB 
historien,22,N,mémoir,5,N,contraindre,8,N
juif,22,I ,efficace,5,N,diplomatique,8,IB
scolaire,22,IB,quatrième,5,N,complet,8,N
utile,22,N,sociologique,5,IB,artificiel,8,N
susceptible,22,N,travailliste,5,HR,périphérique,8,IB
lourd,22,N,réel,5,N,inattendu,8,N
droit,22,HR,isolé,5,N,sanitaire,8,IB
géopolitique,21,IB,do,5,,élyséen,7,IB
j’,21,N,écolo,5,HR,ore,7,N
progressif,21,N,paysan,5,IB,tabou,7,N
physique,21,IB,attendre,5,N,patronal,7,IB
évoqu,21,N,colonial,5,IB,inutile,7,N
tricolore,21,IB,triste,5,N,inacceptable,7,N
aérien,21,IB,lanc,5,N,nul,7,N
profond,21,N,écrasant,5,N,terrible,7,N
interview,21,N,digne,5,N,constructif,7,N
jaune,21,N,décisif,5,N,similaire,7,N
similaire,21,N,sécuritaire,5,IB,exceptionnel,7,N
dangereux,21,N,intersyndical,5,IB,habituel,7,N
spécial,20,N,tomber,5,N,amer,7,N
ferroviaire,20,IB,rapide,5,N,enjeux,7,N
noir,20,N,tendre,5,N,net,7,N
illégal,20,IB,dramatique,5,N,renchérit,7,N
impossible,20,N,gouvernemental,5,IB,énorme,7,N
modeste,20,N,intéressant,5,N,excellent,7,N
sensible,20,N,1r,5,N,tendre,7,N
solaire,20,IB,indépendantiste,5,HR,hypothétique,7,N
permanent,20,IB,concret,5,N,tourn,7,N
solide,20,N,visible,5,N,fondamental,7,N
âgé,20,N,adversaire,5,HR,consécutif,7,IB
lyonnais,19,IB,soviétique,5,IB,montr,7,N
alimentaire,19,IB,régional,5,IB,ensembl,6,N
multiple,19,N,humaniste,5,IB,démographique,6,IB
exprimer,19,N,quell,5,N,isolé,6,N
antisémite,19,HR,complexe,4,N,g.,6,N
promet,19,N,attal,4,HR,brutal,6,N
tendre,19,N,raisonnable,4,N,bancaire,6,IB
qualifié,19,N,probable,4,N,syndical,6,IB
euro,19,IB,référendum,4,IB,minimum,6,N
cinquième,19,N,chinois,4,IB,douteux,6,N
septième,19,N,remarqu,4,N,significatif,6,N
suffisant,19,N,bienvenu,4,N,irréconciliable,6,N
fragile,19,N,contre-productif,4,N,crédible,6,N
efficace,19,N,algérien,4,IB,élu,6,HR
minimum,19,N,entraîn,4,N,humain,6,N
brutal,19,N,sanitaire,4,IB,confiant,6,N
adversair,18,N,ore,4,N,boursier,6,IB
raciste,18,HR,extérieur,4,IB,jusqu,6,N
fait,18,N,centriste,4,HR,croissant,6,N
raisonnable,18,N,multiple,4,N,ouvrier,6,IB
sanitaire,18,IB,insuffisant,4,N,phytosanitaire,6,IB
acceptable,18,N,lundi,4,N,intime,6,N
sociétal,18,IB,battu,4,N,démocrate,6,HR
personn,18,N,potentiel,4,N,coupable,6,N
administratif,18,IB ,candidat,4,HR,lfi,6,HR
symbolique,18,IB,instructeur,4,,cibl,6,N
significatif,18,N,sixième,4,N,battr,6,N
allié,18,HR,juridique,4,IB,capital,6,N
communautaire,18,IB ,furieux,4,N,quatrième,6,N
dépendant,17,N,essentiel,4,N,rouge,6,N
judiciaire,17,IB ,binational,4,IB,venue,6,N
violent,17,N,adjoint,4,IB,désireux,6,N
défavorable,17,N,systématique,4,IB,sociologique,6,IB
ouvrier,17,IB ,moderne,4,N,classique,6,N
exceptionnel,17,N,rouge,4,N,triangulaire,6,IB
médiatique,17,IB,susceptible,4,N,asseoir,6,N
juridique,17,IB,définitif,4,N,économiste,6,IB
hostile,17,N,fou,4,N,privé,6,IB
essentiel,17,N,minier,4,IB,quartier,6,N
dixième,17,N,invisible,4,N,heureux,6,N
entier,17,N,députer,4,,interview,6,N
disponible,17,N,gen,4,,scrutin,6,IB
capital,17,N,ferme,4,N,injuste,6,N
parl,17,N,adversair,4,,ambitieux,6,N
crédible,17,N,vivant,4,N,campagn,6,N
incontournable,16,N,polonais,4,IB,progressiste,6,HR
israélien,16,IB,ennemi,4,,judiciaire,6,IB
sain,16,N,ambitieux,4,N,immédiat,6,N
précis,16,N,suivant,4,N,dominant,6,I 
injuste,16,N,antiraciste,4,HR,existentiel,6,I 
ambitieux,16,N,étudiant,4,,culturel,6,IB
spécifique,16,IB,las,4,,chrétien,5,I 
fossile,16,IB,foule,4,,global,5,IB
évident,16,N,classique,4,N,spectr,5,N
inattendu,16,N,irresponsable,4,N,comparable,5,N
sévère,16,N,ensembl,4,,célèbre,5,N
consécutif,16,IB,sportif,4,IB,formel,5,N
rectificatif,15,IB,impos,4,,irréaliste,5,N
trd,15,N,fait,4,,censé,5,N
objet,15,N,record,4,N,électrique,5,IB
individuel,15,IB,policier,4,IB,financer,5,N
achevé,15,N,mortifère,4,N,iranien,5,IB
ukrainien,15,IB,esprit,4,N,islamique,5,I 
honorifique,15,N,conscient,4,N,tomber,5,N
ferme,15,IB,élyséen,4,IB,mont,5,N
systémique,15,IB,brun,4,N,prévisible,5,N
voisin,15,N,britannique,4,IB,fidèle,5,N
catastrophique,15,N,antisocial,4,N,suppléant,5,IB
